"V1","exp","Q18_1","Q18_2","Q18_3","Q22","Q23","Q24","Q25","Q26_1","Q26_2","Q26_3","Q39_1","Q62","Q63"
"R_9yuthUeoRzVAeAl","4",7,55,80,3,3,2,5,25,90,96,35,2,5
"R_9yuthUeoRzVAeAl","5",56,79,85,5,7,3,12,60,80,90,15,2,10
"R_9yuthUeoRzVAeAl","6",20,55,80,4,3,1,6,10,50,70,7,1,7
"R_9yuthUeoRzVAeAl","7",34,55,87,60,65,50,90,45,65,93,37,45,90
"R_9yuthUeoRzVAeAl","8",17,36,69,1200,20,12,36,30,65,86,30,480,1800
"R_9yuthUeoRzVAeAl","9",47,56,68,6,5,3,7,40,45,60,44,4,8
"R_a4zcOnw0mrSjLYF","1",50,70,98,15,10,4,25,30,40,80,50,5,28
"R_a4zcOnw0mrSjLYF","11",20,50,90,6,6,1,8,30,70,90,70,1,8
"R_a4zcOnw0mrSjLYF","4",40,70,80,10,10,3,15,40,80,90,80,2,12
"R_a4zcOnw0mrSjLYF","5",7,51,60,5,5,3,12,40,60,80,20,2,9
"R_a4zcOnw0mrSjLYF","6",40,80,90,5,7,5,9,50,70,80,20,4,9
"R_a4zcOnw0mrSjLYF","7",10,31,50,180,300,60,480,20,50,80,20,30,360
"R_a4zcOnw0mrSjLYF","8",0,30,60,300,600,480,900,30,70,100,0,120,600
"R_a4zcOnw0mrSjLYF","9",20,60,90,9,7,1,10,0,30,90,50,2,10
"R_aWvW5L1ol0ub7uJ","1",30,51,70,20,15,5,10,40,80,100,50,10,15
"R_aWvW5L1ol0ub7uJ","4",5,60,65,3,3,6,5,20,60,90,100,4,5
"R_aWvW5L1ol0ub7uJ","5",1,0,0,10,0,20,0,50,60,70,10,5,15
"R_aWvW5L1ol0ub7uJ","6",80,90,100,5,5,2,4,80,90,100,50,2,4
"R_aWvW5L1ol0ub7uJ","7",4,10,20,20,60,30,50,40,70,100,1,10,15
"R_aWvW5L1ol0ub7uJ","8",10,30,50,180,180,120,145,20,25,30,0,120,145
"R_aWvW5L1ol0ub7uJ","9",100,100,100,1,1,10,1,90,90,100,1,1,5
"R_b13fEWiUO7uGkwl","1",30,60,80,10,6,3,15,20,50,80,60,3,20
"R_b13fEWiUO7uGkwl","11",20,50,90,4,4,3,5,30,50,90,30,2,5
"R_b13fEWiUO7uGkwl","4",70,50,30,4,2,1,4,30,60,70,80,2,6
"R_b13fEWiUO7uGkwl","5",60,70,100,7,3,0,7,50,60,70,30,2,11
"R_b13fEWiUO7uGkwl","6",30,60,70,7,8,4,10,30,60,90,80,3,9
"R_b13fEWiUO7uGkwl","7",40,60,80,60,60,30,90,40,60,80,60,30,90
"R_b13fEWiUO7uGkwl","8",30,60,80,300,200,350,550,30,60,90,20,200,500
"R_b13fEWiUO7uGkwl","9",20,50,90,8,8,3,10,30,50,90,70,4,10
"R_b9QA618NOvzWNgN","1",25,60,97,10,20,360,120,48,63,80,41,80,100
"R_b9QA618NOvzWNgN","11",50,77,57,80,100,80,20,54,34,66,51,50,100
"R_b9QA618NOvzWNgN","4",39,50,80,7,7,9,2,35,69,58,49,3,8
"R_b9QA618NOvzWNgN","5",21,57,79,300,19,5,20,22,57,89,17,120,30
"R_b9QA618NOvzWNgN","6",43,62,58,6,9,7,9,34,47,58,49,0,9
"R_b9QA618NOvzWNgN","7",72,49,60,10,10,5,20,26,50,31,20,5,20
"R_b9QA618NOvzWNgN","8",87,75,75,120,360,120,360,51,68,51,30,120,360
"R_b9QA618NOvzWNgN","9",27,64,49,7,10,6,10,45,67,47,32,3,10
"R_bCT1FnNgtadd7s9","1",29,69,87,15,15,5,20,30,65,89,79,5,20
"R_bCT1FnNgtadd7s9","11",30,70,90,4,4,2,5,30,70,81,71,2,5
"R_bCT1FnNgtadd7s9","4",30,64,85,2,2,1,5,51,70,89,80,1,5
"R_bCT1FnNgtadd7s9","5",60,20,20,10,12,6,17,60,20,20,60,5,15
"R_bCT1FnNgtadd7s9","6",29,70,91,7,7,1,9,30,80,90,50,1,10
"R_bCT1FnNgtadd7s9","7",20,50,80,40,40,30,70,30,50,80,10,20,60
"R_bCT1FnNgtadd7s9","8",30,70,94,10,10,5,15,30,70,90,90,5,15
"R_bCT1FnNgtadd7s9","9",50,75,90,7,7,4,10,50,75,90,80,4,10
"R_bfPwIZ6NGD1sc3r","1",25,55,85,5,5,1,10,25,55,85,20,1,10
"R_bfPwIZ6NGD1sc3r","5",0,40,75,12,15,7,20,25,50,85,50,4,20
"R_bfPwIZ6NGD1sc3r","6",20,50,85,6,6,3,9,20,50,80,30,3,9
"R_bfPwIZ6NGD1sc3r","7",0,25,75,15,20,10,30,25,50,90,30,5,25
"R_bfPwIZ6NGD1sc3r","8",25,60,95,300,300,180,480,20,60,85,50,180,540
"R_bfPwIZ6NGD1sc3r","9",20,40,85,7,7,3,10,10,40,90,100,3,10
"R_bw7psWTLSyMYvwV","1",12,51,88,10,10,1,30,10,50,82,36,0,30
"R_bw7psWTLSyMYvwV","11",11,20,30,4,4,1,5,10,20,30,84,1,5
"R_bw7psWTLSyMYvwV","4",20,36,75,10,20,1,30,36,58,85,50,1,50
